title,description,expected category,expected priority,expected resolver_team,actual category,actual priority,actual resolver_team,reason,category same T/F,resolver same T/F
"How can I tell, from the command line, whether the machine requires a reboot?","When you install certain updates (e.g. a new kernel) in Ubuntu Desktop, you get an indication that a reboot is required (in Lucid, the logout icon turns red).
How can I check, from the command line, whether an Ubuntu
server
requires a reboot?
I could grep for 'System restart required' in
/etc/motd
, but I'd like a solution that's more elegant.  Also, I want a solution that works in older releases, e.g. Hardy (8.04 LTS).",general usage,,general support,package management,4,system support,How to check from the command line if an Ubuntu server requires a reboot after updates; works for older releases,False,False
"Why did the command "":(){ :|: & };:"" make my system lag so badly I had to reboot?","DANGER!
Do not run this command to 'test' it unless you are prepared for a crash and/or force-rebooting your system.
I was in my Virtualbox running 12.04 trying to compile an app, and while waiting I happened to chance upon a forum where a comment said:
Try
:(){ :|: & };:
Fun, too, and doesn't need root.
Without thinking, I ran it in my gnome-terminal. It made my 12.04(in Virtualbox) lag so badly, I had to shut it down.
My question is what does this command do?
:(){ :|: & };:",general usage,,general support,system performance,4,system support,Shell fork bomb that rapidly spawns processes; exhausts CPU and memory leading to severe lag and forced reboot,False,False
How can I fix a 404 Error when using a PPA or updating my package lists?,"PPA seems to be constantly offline. Whenever I use
sudo apt-get update
, this error is shown:
W: Failed to fetch http://ppa.launchpad.net/ 404  Not Found
How do I fix these errors?",package management,,system support,package management,3,system support,PPA returns 404 likely because the PPA was removed or the source entry is malformed; remove disable or correct the PPA entry in sources.list or /etc/apt/sources.list.d then run sudo apt-get update,True,True
"How can I fix apt error ""W: Target Packages ... is configured multiple times""?","I just installed Ubuntu Gnome 16.04. I told it to save my documents - which worked. Some software had to be reinstalled. Now when I run
sudo apt-get update
I see this:
W: Target Packages (main/binary-amd64/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (main/binary-i386/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (main/binary-all/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (main/i18n/Translation-en_GB) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (main/i18n/Translation-en) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11 (main/dep11/Components-amd64.yml) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11-icons (main/dep11/icons-64x64.tar) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (restricted/binary-amd64/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (restricted/binary-i386/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (restricted/binary-all/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (restricted/i18n/Translation-en_GB) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (restricted/i18n/Translation-en) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11 (restricted/dep11/Components-amd64.yml) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11-icons (restricted/dep11/icons-64x64.tar) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (multiverse/binary-amd64/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (multiverse/binary-i386/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (multiverse/binary-all/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (multiverse/i18n/Translation-en_GB) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (multiverse/i18n/Translation-en) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11 (multiverse/dep11/Components-amd64.yml) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11-icons (multiverse/dep11/icons-64x64.tar) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: The repository 'http://extras.ubuntu.com/ubuntu xenial Release' does not have a Release file.
N: Data from such a repository can't be authenticated and is therefore potentially dangerous to use.
N: See apt-secure(8) manpage for repository creation and user configuration details.
W: http://dl.google.com/linux/chrome/deb/dists/stable/Release.gpg: Signature by key 4CCA1EAF950CEE4AB83976DCA040830F7FAC5991 uses weak digest algorithm (SHA1)
W: http://repo.sinew.in/dists/stable/InRelease: Signature by key B6DA722E2E65721AF54B93966F7565879798C2FC uses weak digest algorithm (SHA1)
E: Failed to fetch http://extras.ubuntu.com/ubuntu/dists/xenial/main/source/Sources  404  Not Found [IP: 91.189.92.152 80]
E: Failed to fetch http://extras.ubuntu.com/ubuntu/dists/xenial/main/binary-amd64/Packages  404  Not Found [IP: 91.189.92.152 80]
E: Failed to fetch http://extras.ubuntu.com/ubuntu/dists/xenial/main/binary-i386/Packages  404  Not Found [IP: 91.189.92.152 80]
E: Some index files failed to download. They have been ignored, or old ones used instead.
W: Target Packages (main/binary-amd64/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (main/binary-i386/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (main/binary-all/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (main/i18n/Translation-en_GB) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (main/i18n/Translation-en) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11 (main/dep11/Components-amd64.yml) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11-icons (main/dep11/icons-64x64.tar) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (restricted/binary-amd64/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (restricted/binary-i386/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (restricted/binary-all/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (restricted/i18n/Translation-en_GB) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (restricted/i18n/Translation-en) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11 (restricted/dep11/Components-amd64.yml) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11-icons (restricted/dep11/icons-64x64.tar) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (multiverse/binary-amd64/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (multiverse/binary-i386/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Packages (multiverse/binary-all/Packages) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (multiverse/i18n/Translation-en_GB) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target Translations (multiverse/i18n/Translation-en) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11 (multiverse/dep11/Components-amd64.yml) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
W: Target DEP-11-icons (multiverse/dep11/icons-64x64.tar) is configured multiple times in /etc/apt/sources.list:33 and /etc/apt/sources.list:87
Is there an automated way to fix this?",package management,,system support,package management,3,system support,Duplicate entries in /etc/apt/sources.list causing apt warnings; extras.ubuntu.com repository is unavailable causing 404 errors,True,True
How do I find out which repository a package comes from?,Is there a method or command which can tell from which repository a package is coming from?,package management,,system support,package management,4,system support,User asks how to determine which repository a package was installed from; needs package manager command guidance,True,True
How to choose the default gcc and g++ version?,"So I have installed gcc-4.4 and gcc-4.3 (same for g++). Now as far as I remember there is a tool in Ubuntu which sets the symlinks for you if you just tell it which version you want. However it does not seem to work in the newest version, which I find disappointing.
root@nexus:~# update-alternatives --config gcc
update-alternatives: error: no alternatives for gcc.
root@nexus:~# update-alternatives --config cc
There is only one alternative in link group cc: /usr/bin/gcc
Nothing to configure.


root@nexus:~# dpkg -l | grep gcc | awk '{print $2}'
gcc
gcc-4.3
gcc-4.3-base
gcc-4.3-multilib
gcc-4.4
gcc-4.4-base
gcc-4.4-multilib
gcc-4.5-base
gcc-multilib
lib32gcc1
libgcc1
Any ideas?",installation,,installation support,package management,4,system support,No update-alternatives entries exist for gcc and g++ so default cannot be configured; requires registering alternatives,False,False
SSH Permission denied (publickey),"I am trying to connect to a Linode (running Ubuntu 12.04 LTS) from my local machine (also running Ubuntu 12.04 LTS)
I have created a private and public key on my local machine and copied my public key to my Linode's authorized_keys file.  However, whenever I try to ssh to my Linode I get the error message
Permission denied (publickey)
.
It's not a problem with how ssh is set up on my Linode because I can ssh to it from my Windows machine using key authentication.
In my
.ssh
directory on my local Ubuntu machine, I have my
id_rsa
and
id_rsa.pub
files.  Do I need to create an authorized_keys file on my local machine?
EDIT:  This is what I get when I run
ssh -vvv -i id_rsa [youruser]@[yourLinode]
:
debug3: authmethod_lookup publickey
debug3: remaining preferred: keyboard-interactive,password
debug3: authmethod_is_enabled publickey
debug1: Next authentication method: publickey
debug1: Offering RSA public key: id_rsa
debug3: send_pubkey_test
debug2: we sent a publickey packet, wait for reply
debug1: Authentications that can continue: publickey
debug2: we did not send a packet, disable method
debug1: No more authentication methods to try.
Permission denied (publickey).",general usage,,general support,user accounts,3,system support,SSH public key authentication failing from local Ubuntu; client not offering key or private key file permissions or ssh config may be incorrect,False,False
"How do I find the kernel version, Ubuntu release and disk partition information from the terminal?","Which commands will give me information about following using Terminal?
Kernel Version
Distribution version no.
All partition size of the HDD",general usage,,general support,general usage,4,system support,Requests commands to show kernel version Ubuntu release and disk partition information,True,False
How do I check my version of GNOME-Shell?,"There's got to be some simple way I'm missing, but for the life of me I can't find it. How do I check my version of GNOME-Shell?",system settings,,desktop support,general usage,4,desktop support,User asks how to check GNOME Shell version; informational request,False,True
mv: Directory not empty,"I want to move content of a directory within another directory with the same folders.
Here's an example:
I have
./backup
which has the directories
base
and
test
. Now, I want to move these directories to
./backupArchives
.
I use this:
mv ./backup/* ./backupArchives
but I got the error
mv: cannot move './backup/base' to './backupsArchive/base': Directory not empty
I tried using
--force
, but no luck. Is there a way to move it when folders already exists?
Note: I just want to merge contents, there's no overwriting.",general usage,,general support,general usage,4,general support,mv command usage question about merging directory contents when destination folders already exist; user wants guidance on commands to merge without overwriting,True,True
Where are MTP mounted devices located in the filesystem?,"I have an Android phone that connects with my computer via MTP. This works fine; I can see and transfer files with Nautilus. However, I often want to use the terminal to move large numbers of files, and I cannot seem to find the device anywhere in the filesystem tree. Nautilus reports the location as
mtp://[usb:003,007]/
, but it's not under
/media
or
/mnt
.
Does anyone know where it is?",hardware,,hardware support,general usage,4,desktop support,MTP is exposed via GVFS not as a real mount point under /media or /mnt; use gio or gvfs tools or a FUSE mount like jmtpfs to get a filesystem path,False,False
ssh: automatically accept keys,"I've written this small utility script:
for h in $SERVER_LIST; do ssh $h ""uptime""; done
When a new server is added to
$SERVER_LIST
, the script is stopped with:
The authenticity of host 'blah.blah.blah (10.10.10.10)' can't be established.
RSA key fingerprint is a4:d9:a4:d9:a4:d9a4:d9:a4:d9a4:d9a4:d9a4:d9a4:d9a4:d9.
Are you sure you want to continue connecting (yes/no)?
I've tried
yes
:
for h in $SERVER_LIST; do yes | ssh $h ""uptime""; done
with no luck.
Is there a way to parametrize
ssh
to automatically accept any new key?",general usage,,general support,system settings,4,system support,Script halted by SSH host key verification prompt; user requests method to automatically accept new host keys,False,False
Is FFmpeg missing from the official repositories in 14.04?,"I tried to install ffmpeg in trusty/Ubuntu 14.04 and got the following message:
$sudo apt-get install ffmpeg

Reading package lists... Done
Building dependency tree       
Reading state information... Done
Package ffmpeg is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source

E: Package 'ffmpeg' has no installation candidate
Why isn't the package available?",package management,,system support,package management,4,system support,ffmpeg was removed from official Ubuntu 14.04 repositories; install libav avconv or add a third party PPA to get ffmpeg,True,True
How can I configure Unity?,"Are there any configuration options for the Unity desktop?
There are multiple valid answers for this question spanning over several versions of Ubuntu. For your convenience an index of each below
(How can I tell which Ubuntu release I'm using?
)
:
13.04
12.10
12.04
11.10
11.04
If you're looking to configure Unity 2D,
look here
.",general usage,,general support,system settings,4,desktop support,User asking how to configure the Unity desktop across Ubuntu versions; guidance on Unity and Unity 2D configuration options needed,False,False
How can I install software or packages without Internet (offline)?,I have a friend who has got a computer that is not connected to the Internet. Is there any way to install software offline easily?,package management,,system support,package management,4,installation support,How to install software on an offline computer; seeks methods such as downloading packages on another machine using removable media or creating a local repository,True,False
How do I change the color for directories with ls in the console?,"On my console the color for directories is such a blue, that it is hard to read on a dark background.
How can I change the color definitions for
ls
?",general usage,,general support,system settings,4,system support,Change LS_COLORS or dircolors configuration; update ~/.dircolors or export LS_COLORS; adjust terminal color theme if needed,False,False
Where are the Apache and PHP log files?,"I've installed Apache, PHP, and MySQL on Ubuntu 10.10 desktop edition, and it's working fine.
Except I have no clue where to look for Apache or PHP log files.",general usage,,general support,system settings,4,system support,User requests locations of Apache and PHP log files on Ubuntu 10.10.,False,False
How to check RAM size?,What is the command to find the RAM size in my computer? I want to see the result in megabytes (MB).,hardware,,hardware support,general usage,4,system support,User asks for command to display RAM size in MB,False,False
How to completely uninstall docker,"I followed the uninstall instructions
here
. Then I ran these commands:
sudo apt-get purge docker-engine
sudo apt-get autoremove --purge docker-engine
rm -rf /var/lib/docker
So after I did all this I ran this command to see if docker files are any where else:
sudo find / -name '*docker*'
I found several places where docker files still exists.
/etc
/sys
/lib
/usr
/usr
/run
/proc
/var
Docker exists in subfolders in the list above. I can post every path if you like. There is about 200 locations.
Is there a way to totally and completely remove docker everywhere?",package management,,system support,package management,4,system support,User wants to completely remove Docker after running purge; many leftover files found across filesystem; needs guidance to remove packages systemd units images volumes and leftover files,True,True
E: Could not get lock /var/lib/dpkg/lock-frontend - open (11: Resource temporarily unavailable),"I'm trying to run this command in the terminal:
sudo apt install software-properties-common
This is the error message I get:
E: Could not get lock /var/lib/dpkg/lock-frontend - open (11: Resource temporarily unavailable)  
E: Unable to acquire the dpkg frontend lock (/var/lib/dpkg/lock-frontend),   
 is another process using it?",package management,,system support,package management,2,system support,dpkg lock preventing apt install; another package process is likely running such as apt or unattended-upgrades; wait for it to finish or stop the process then retry,True,True
Difference between systemctl and service commands,"systemd
gives us the
systemctl
commands suite which is mostly used to enable services to start at boot time. We can also start, stop, reload, restart and check status of services with the help of
systemctl
.
We can do, for example,
sudo systemctl enable service_name
, and
service_name
will automatically start at boot time. We can also disable services not to start at boot time.
Is the only difference between the
service
and
systemctl
commands that
systemctl
can be used to enable the start of services at run time? Can we use
systemctl
on any service? What other significant differences are there?",general usage,,general support,general usage,4,system support,Asking about differences and usage of systemctl and service for systemd; informational request no operational impact,True,False
What is the Difference Between `apt-get purge` and `apt-get remove`?,"Is there any difference between
sudo apt-get purge
and
sudo apt-get remove
?
I often see people recommend one or the other.
In other words, what does
apt-get purge
remove that
apt-get remove
doesn't?",package management,,system support,package management,4,system support,Asking difference between apt-get purge and apt-get remove; informational question about package removal and config file handling,True,True
What is LVM and what is it used for?,"As a Linux/Ubuntu newbie, what is LVM and what is it used for?
In terms of a web server installation, what benefits does it provide?
Would you recommend using it?",general usage,,general support,system settings,4,system support,Request for explanation of LVM and advice on using it for a web server; informational not urgent,False,False
How can you completely remove a package?,"I am trying to do a clean install of the
octave3.2
package.
To do this, I removed it, then tried to reinstall it.
When I reinstalled, an error occurred. It could be a bug in the package, but I want to make sure I have everything removed so that I can do a clean install.
Is it enough to do this?
sudo apt-get --purge remove octave3.2",package management,,system support,package management,4,system support,Asking how to completely remove an apt package before reinstalling; guidance on using --purge autoremove and checking residual files,True,True
"How to fix ""The system is running in low-graphics mode"" error?","Note:
This is an attempt to create a canonical question that covers all
instances of ""low-graphics mode"" error that occurs to a user,
including but
not
limited
to installation of wrong drivers,
incorrect or invalid lightdm greeters, low disk space, incorrect
installation of graphics card like ATI and Nvidia, incorrect
configuration of xorg.conf file while setting up multiple monitors
among others.
If you are experiencing the ""low-graphics mode"" error when trying to
login but none of the following answers work for you, please do ask a
new question and then update the answers of this canonical question as
and when your new question gets answered.
When I try to boot into my computer, I am getting this error:
The system is running in low-graphics mode
Your screen, graphics cards, and input device settings could not be
detected correctly. You will need to configure these yourself.
How do I fix the failsafe X mode and login into my computer?
Answer index:
The greeter is invalid",system settings,,desktop support,system settings,1,desktop support,X server fails due to invalid greeter; incorrect or incompatible graphics drivers or misconfigured xorg.conf causing low graphics mode and preventing graphical login,True,True
How do I run specific sudo commands without a password?,"On one particular machine I often need to run
sudo
commands every now and then.
I am fine with entering password on
sudo
in most of the cases.
However there are
three
sudo
commands
I want to run
without entering password
:
sudo reboot
sudo shutdown -r now
sudo shutdown -P now
How can I exclude these commands from password protection to
sudo
?",user accounts,,system support,system settings,4,system support,Configure sudoers to allow three sudo commands to run without password,False,True
"Kernel Panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)","Upon trying to upgrade from 10.10 to 11.04 all seemed to go well until the restart. This error message is what comes up:
Kernel Panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)
How do we fix that?",installation,,installation support,installation,1,installation support,System unbootable after OS upgrade due to kernel panic unable to mount root filesystem,True,True
Error sudo: add-apt-repository: command not found,"I’m running Ubuntu 14.04. When I run:
sudo add-apt-repository ppa:ubuntu-wine/ppa
I get the following error:
sudo: add-apt-repository: command not found
I tried to run
sudo apt-get install software-properties-common
but it shows:
software-properties-common is already the newest version.
0 upgraded, 0 newly installed, 0 to remove and 1 not upgraded.",package management,,system support,package management,3,system support,add-apt-repository command missing despite software-properties-common installed; likely package installation or PATH issue,True,True
How do I install .run files?,"My PC has both Ubuntu and Windows 7 installed. I have installed all my drivers in Windows like Nvidia graphics, motherboard etc. Shall I install them in Ubuntu too?
I looked on the web for my Nvidia drivers and I have found a
.run
file. How could I install it on my Ubuntu?",package management,,system support,installation,4,installation support,User wants instructions to install a .run Nvidia driver on Ubuntu; also asking if Windows drivers must be installed on Ubuntu,False,False
How to list all symbolic links in a directory,"I have a symbolic link in my
/var/www/
directory that links to WordPress. When I run the command
ls -la
from the
/var/www/
directory the link to WordPress doesn't show up. Is there a way to list all of the symbolic links that are in a directory?",general usage,,general support,general usage,4,system support,Command line question about listing symbolic links in a directory,True,False
How can I create launchers on my desktop?,"In older versions it was easy to create a launcher on my desktop. All I had to do is right click on my desktop and select the ""create launcher"" option.
How can I create such launchers now?",general usage,,general support,general usage,4,desktop support,User asks how to create application launchers on the desktop in the current version,True,False
How do I set Windows to boot as the default in the boot loader?,"How do I set the bootloader so that in my dualboot with Windows 7/Ubuntu 11.04, Windows start up as standard instead of Ubuntu?",installation,,installation support,system settings,4,system support,Configure GRUB to boot Windows by default in a dual boot with Ubuntu 11.04,False,False
How do I provide a username and password to wget?,"I've tried to connect to a server via wget:
wget http://
:
@serveradress
But wget responds: invalid port
I know that the server accepts incoming traffic at port 80.
How can I fix this issue?",general usage,,general support,general usage,4,system support,Invalid URL syntax with colon and at sign causing wget to parse a port; use http://user:password@host/path or the --http-user and --http-password options,True,False
How to run sudo command with no password?,"How does the
ubuntu
user on the AWS images for Ubuntu Server 12.04 have passwordless
sudo
for all commands when there is no configuration for it in
/etc/sudoers
?
I'm using Ubuntu server 12.04 on Amazon. I want to add a new user that has the same behavior as the default Ubuntu user. Specifically I want passwordless
sudo
for this new user.
So I've added a new user and went to edit
/etc/sudoers
(using visudo of course). From reading that file it seemed like the default
ubuntu
user was getting it's passwordless
sudo
from being a member of the
admin
group. So I added my new user to that. Which didn't work. Then I tried adding the
NOPASSWD
directive to
sudoers
. Which also didn't work.
Anyway, now I'm just curious. How does the
ubuntu
user get passwordless privileges if they aren't defined in
/etc/sudoers
. What is the mechanism that allows this?",user accounts,,system support,user accounts,4,system support,Explain cloud image mechanism that grants ubuntu user passwordless sudo via /etc/sudoers.d from cloud-init; include steps to grant same to a new user,True,True
What Debian version are the different Ubuntu versions based on?,"I have some software packages customised for Ubuntu 10.04, 10.10 and 12.10, but now I have to install them on Debian Squeeze. I have been unable to Google for a mapping between specific Ubuntu and Debian versions. Can someone here help?
Specifically I want to know which Ubuntu version corresponds to Debian Squeeze.",general usage,,general support,package management,4,system support,Mapping Ubuntu releases to Debian Squeeze for package compatibility; informational request,False,False
How can I highlight or annotate PDFs?,"Currently I need to highlight certain sections in PDFs, or add annotations (comments/notes). These modifications would need to be saved.
What tools are out there to do this on Ubuntu?",general usage,,general support,general usage,4,desktop support,Request for applications to highlight and annotate PDFs on Ubuntu; needs ability to save annotations,True,False
How can I install Windows after I've installed Ubuntu?,"I have Ubuntu on my laptop. Now I want install Windows 7 in a dual-boot. How can I do this?
I can't lose my Ubuntu files, and I'm afraid that I might break
GRUB
.
Editor's note:
Current readers should keep in mind that this is an older question, and the exact steps may have changed over time.  Also, UEFI has primarily replaced BIOS in that time.  As a result, many answers here may be out of date.  Make sure you choose an answer appropriate to UEFI or BIOS depending on your system, and consider favoring more recent answers which may have more up-to-date information.",installation,,installation support,installation,3,installation support,Instructions to install Windows in a dual boot with Ubuntu preserving files and restoring GRUB if it is overwritten,True,True
How to get the MD5 hash of a string directly in the terminal?,"How do I get the
MD5
hash of a string directly from the terminal?
For example, I want the string
abcdefg
hashed. Currently the
md5sum
command only accepts a filename as input. I want to simply enter the following line and everything be done with.
md5sum abcdefg
output: ac54bcf346e578feb46888b3ecd2344f
How can I achieve that?",general usage,,general support,general usage,4,system support,User asking how to compute MD5 of a literal string in the terminal; needs method such as echo -n 'abcdefg' | md5sum or printf 'abcdefg' | md5sum,True,False
Trouble with batch conversion of .png to .pdf using convert,"convert /home/bill/TempScan/*.png  myfile.pdf
gives error message:
convert-im6.q16: not authorized `myfile.pdf' @ error/constitute.c/WriteImage/1037.
Any help would be appreciated!",general usage,,general support,system settings,4,system support,ImageMagick refusing to write PDF due to security policy likely in policy.xml; requires updating ImageMagick policy or installing/configuring PDF delegate such as Ghostscript,False,False
"When installing user applications, where do ""best practices"" suggest they be located?","Occasionally I install applications manually, rather than using
apt
or another package manager.
What location (
/usr/
,
/usr/local/
,
/opt/
,
/home/
, etc.) is suggested by ""best practices"" for the installation of user applications?",package management,,system support,installation,4,installation support,User asks where to place manually installed applications according to best practices; informational request,False,False
How do I install the latest version of cmake from the command line?,"I am trying to install latest
cmake
in my Linux box and I am always getting the below exception:
userName@phx5qa01c-4e23:~/build$ wget http://www.cmake.org/files/v2.8/cmake-2.8.11.tar.gz
--2013-10-08 14:39:55--  http://www.cmake.org/files/v2.8/cmake-2.8.11.tar.gz
Resolving www.cmake.org... 66.194.253.19
Connecting to www.cmake.org|66.194.253.19|:80... failed: Connection timed out.
Retrying.

--2013-10-08 14:40:17--  (try: 2)  http://www.cmake.org/files/v2.8/cmake-2.8.11.tar.gz
Connecting to www.cmake.org|66.194.253.19|:80... failed: Connection timed out.
Retrying.

--2013-10-08 14:40:40--  (try: 3)  http://www.cmake.org/files/v2.8/cmake-2.8.11.tar.gz
Connecting to www.cmake.org|66.194.253.19|:80...
It is always retrying... Any thoughts?
Does anyone know what wrong I am doing here? Or is there any better way of installing latest version of cmake in my Linux box?
userName@phx5qa01c-4e23:~/build$ uname -a
Linux phx5qa01c-4e23 2.6.35-22-server #33-Ubuntu SMP Sun Sep 19 20:48:58 UTC 2010 x86_64 GNU/Linux",package management,,system support,networking,3,network support,wget to cmake.org times out; likely outbound network or proxy firewall issue preventing download,False,False
"vi shortcut to delete ""until the next X character""","I understand that vi has shortcut keys to delete characters, words and lines with various options.
However, I could not find this:
delete from the cursor to the next specified character
For example, I might type
du""
expecting the editor to ""delete until the next
""
character is found""
The closest I know is
d9w
where
9
is the number of words to delete.
Does anyone know if this is possible?",general usage,,general support,general usage,4,general support,Asking how to delete from cursor to next specified character in vi; usage question,True,True
Extracting embedded images from a PDF,"Before I started using Ubuntu I used Nitro PDF reader to automatically extract images from PDF files. Is there a PDF reader for Linux that does this?
I would like to be able to extract images faster/easier than when taking a snapshot.",general usage,,general support,general usage,4,desktop support,Requests a PDF reader or tool on Linux to extract embedded images faster than taking screenshots,True,False
Any way to search for text within nano?,"Nano is the editor I use in command prompts.
When I open a large file I would like to search for some text (think
Ctrl
+
F
).
Is there a way to do this?",general usage,,general support,general usage,4,general support,How to search for text in nano editor; usage question,True,True
How do I remap certain keys or devices?,"I'm searching for a way to remap certain keys in ubuntu.
i.e.
I'd like to change
PgUp
to
Home
or
PgDown
to
End
.
Does a built-in command or a tool exist reassign keys in Ubuntu/GNOME?",system settings,,desktop support,system settings,4,desktop support,Request to remap PgUp and PgDown to Home and End in Ubuntu GNOME; keyboard keybinding configuration question,True,True
What do the STAT column values in ps mean?,"In the STAT column of ps there are a load of letters that don't really make much sense. What do they mean?
Here's an example of
ps aux | head
:
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  27176  2960 ?        Ss   Sep20   0:02 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Sep20   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Sep20  13:05 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S<   Sep20   0:00 [kworker/0:0H]
root         7  0.0  0.0      0     0 ?        S<   Sep20   0:00 [kworker/u:0H]
root         8  0.0  0.0      0     0 ?        S    Sep20   2:16 [migration/0]
root         9  0.0  0.0      0     0 ?        S    Sep20   0:00 [rcu_bh]
root        10  0.0  0.0      0     0 ?        S    Sep20  20:08 [rcu_sched]
root        11  0.0  0.0      0     0 ?        S    Sep20   0:07 [watchdog/0]
root        12  0.0  0.0      0     0 ?        S    Sep20   0:05 [watchdog/1]
root        13  0.0  0.0      0     0 ?        S    Sep20   2:21 [ksoftirqd/1]
root        14  0.0  0.0      0     0 ?        S    Sep20   1:00 [migration/1]",general usage,,general support,general usage,4,general support,User asking what the letters in the ps STAT column signify,True,True
Is there another way to restart the sound system if pulseaudio/ALSA don't work?,"I was listening to music, and my sound suddenly went dead in all my applications. I'm using Ubuntu 12.04, which uses pulseaudio, so I tried
sudo /etc/init.d/pulseaudio restart
, but nothing happened. According to
lsof | grep pcm
, nothing is using the soundcard at the moment, although I'm not entirely sure if
my source for that command
is applicable.
Is there a way another way to restart Ubuntu 12.04's sound system from the command line without rebooting the system?",hardware,,hardware support,system settings,2,desktop support,Pulseaudio and ALSA audio stopped; user requests command line method to restart sound system without reboot,False,False
How to determine which window manager (and desktop environment) is running,"Is there any way (such as a command or environmental variable) to determine what
window manager
is the one actively running in the current session?",system settings,,desktop support,system settings,4,desktop support,Request for command or environment variable to identify active window manager and desktop environment in current session,True,True
How to send mail from the command line?,How to send mail from the command line?,general usage,,general support,general usage,4,general support,User requests instructions for sending email from the command line; needs guidance on tools commands and examples,True,True
How to control fan speed?,"How can I control the computer's fan speed?
On Windows there is a wonderful program called
SpeedFan
.",hardware,,hardware support,hardware,4,hardware support,User asks how to control computer fan speed mentions SpeedFan as a Windows option,True,True
